TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
FBtr0113489	27	20	12	11	306	1.2375	-0.2375	0.7989 
FBtr0113493	0	24	0	13	356	0.0000	1	1.0000 
FBtr0114359	10	40	5	24	486	1.2000	-0.2	1.0000 
FBtr0114360	8	45	2	23	504	2.0444	-1.0444	0.4875 
FBtr0114361	15	41	6	20	538	1.2195	-0.2195	0.7917 
FBtr0114362	12	9	11	10	217	1.2121	-0.2121	1.0000 
FBtr0114363	2048	1071	29	79	1578	5.2092	-4.2092	0.0000 
FBtr0114364	29	64	29	81	1482	1.2656	-0.2656	0.5331 
FBtr0114365	42	74	41	92	1740	1.2736	-0.2736	0.4193 
FBtr0114366	1	16	0	34	479	0.0000	1	0.3333 
FBtr0114367	34	46	10	32	779	2.3652	-1.3652	0.0484 
FBtr0114370	109	284	15	110	2162	2.8146	-1.8146	0.0003 
FBtr0114371	13	31	10	24	408	1.0065	-0.00649999999999995	1.0000 
FBtr0114372	8	27	16	21	270	0.3889	0.6111	0.0832 
FBtr0114373	7	16	8	25	250	1.3672	-0.3672	0.7605 
FBtr0114374	25	47	9	53	932	3.1324	-2.1324	0.0094 
FBtr0114375	12	36	5	48	786	3.2000	-2.2	0.0603 
FBtr0114376	25	46	6	48	919	4.3478	-3.3478	0.0030 
FBtr0114451	18	130	6	43	981	0.9923	0.00770000000000004	1.0000 
FBtr0114452	18	132	7	43	1026	0.8377	0.1623	0.8052 
FBtr0114453	5	10	1	40	594	20.0000	-19	0.0039 
FBtr0114454	0	3	1	5	50	0.0000	1	1.0000 
FBtr0114455	26	25	6	12	254	2.0800	-1.08	0.2733 
FBtr0114456	18	59	5	42	582	2.5627	-1.5627	0.0970 
FBtr0114460	43	97	9	55	789	2.7090	-1.709	0.0147 
FBtr0114462	11	9	32	11	143	0.4201	0.5799	0.1519 
FBtr0114463	11	9	32	11	143	0.4201	0.5799	0.1519 
FBtr0114464	3	28	0	11	286	0.0000	1	0.5544 
FBtr0114465	36	134	7	61	1386	2.3412	-1.3412	0.0615 
FBtr0114466	4	46	0	19	283	0.0000	1	0.5692 
FBtr0114471	45	91	8	31	728	1.9162	-0.9162	0.1673 
FBtr0114472	9	56	3	24	396	1.2857	-0.2857	1.0000 
FBtr0114473	5	34	1	15	244	2.2059	-1.2059	0.6595 
FBtr0114474	3	5	2	4	70	1.2000	-0.2	1.0000 
FBtr0114486	19	22	9	44	499	4.2222	-3.2222	0.0029 
FBtr0114487	7	102	1	72	726	4.9412	-3.9412	0.1467 
FBtr0114488	40	133	4	67	1061	5.0376	-4.0376	0.0008 
FBtr0114489	25	75	4	48	652	4.0000	-3	0.0094 
FBtr0114492	30	50	27	101	1364	2.2444	-1.2444	0.0111 
FBtr0114493	8	41	5	16	424	0.6244	0.3756	0.5107 
FBtr0114494	8	41	5	16	424	0.6244	0.3756	0.5107 
FBtr0114495	8	40	5	16	389	0.6400	0.36	0.5152 
FBtr0114496	40	67	4	27	476	4.0299	-3.0299	0.0092 
FBtr0114497	66	81	28	41	1123	1.1931	-0.1931	0.5604 
FBtr0114498	10	15	0	5	141	0.0000	1	0.1400 
FBtr0114499	2	7	0	7	132	0.0000	1	0.4750 
FBtr0114500	0	9	0	6	133	0.0000	1	1.0000 
FBtr0114501	3	8	0	6	130	0.0000	1	0.5147 
FBtr0114503	17	13	11	14	209	1.6643	-0.6643	0.4218 
FBtr0114504	7	38	0	27	306	0.0000	1	0.0405 
FBtr0114505	14	35	10	38	422	1.5200	-0.52	0.4815 
FBtr0114506	39	110	13	71	1256	1.9364	-0.9364	0.0716 
FBtr0114508	36	46	5	16	323	2.5043	-1.5043	0.1337 
FBtr0114509	26	50	2	28	469	7.2800	-6.28	0.0032 
FBtr0114510	12	25	17	17	198	0.4800	0.52	0.1536 
FBtr0114511	10	56	2	14	328	1.2500	-0.25	1.0000 
FBtr0114512	11	61	7	26	489	0.6698	0.3302	0.5777 
FBtr0114513	23	42	13	16	274	0.6740	0.326	0.4914 
FBtr0114514	44	116	9	37	712	1.5594	-0.5594	0.3407 
FBtr0114515	21	13	13	35	410	4.3491	-3.3491	0.0029 
FBtr0114516	9	16	13	40	410	1.7308	-0.7308	0.4189 
FBtr0114517	5	11	3	38	508	5.7576	-4.7576	0.0324 
FBtr0114518	9	13	1	49	604	33.9231	-32.9231	0.0000 
FBtr0114520	7	18	7	36	447	2.0000	-1	0.3517 
FBtr0114521	11	9	5	10	151	2.4444	-1.4444	0.3064 
FBtr0114523	12	25	14	24	302	0.8229	0.1771	0.8093 
FBtr0114524	17	88	8	39	644	0.9418	0.0582	1.0000 
FBtr0114525	6	14	3	10	173	1.4286	-0.4286	0.7126 
FBtr0114528	49	141	16	65	1108	1.4118	-0.4118	0.3516 
FBtr0114529	7	55	2	21	499	1.3364	-0.3364	1.0000 
FBtr0114530	6	12	4	8	102	1.0000	0	1.0000 
FBtr0114531	5	8	11	14	234	0.7955	0.2045	1.0000 
FBtr0114532	14	18	11	38	306	2.6869	-1.6869	0.0519 
FBtr0114533	11	23	3	33	421	5.2609	-4.2609	0.0166 
FBtr0114535	28	104	5	26	580	1.4000	-0.4	0.6259 
FBtr0114536	4	21	2	17	261	1.6190	-0.619	0.6843 
FBtr0114537	4	21	2	17	260	1.6190	-0.619	0.6843 
FBtr0114538	26	42	1	19	275	11.7619	-10.7619	0.0048 
FBtr0114539	6	14	6	3	106	0.2143	0.7857	0.1059 
FBtr0114540	9	20	5	10	172	0.9000	0.1	1.0000 
FBtr0114541	18	67	1	9	334	2.4179	-1.4179	0.6809 
FBtr0114542	233	137	16	16	313	1.7007	-0.7007	0.1837 
FBtr0114543	32	51	21	49	609	1.4641	-0.4641	0.3081 
FBtr0114544	1	30	6	11	363	0.0611	0.9389	0.0055 
FBtr0114546	13	21	19	49	533	1.5965	-0.5965	0.3661 
FBtr0114548	10	37	12	40	450	0.9009	0.0991	1.0000 
FBtr0114549	10	37	12	40	450	0.9009	0.0991	1.0000 
FBtr0114550	15	51	38	37	555	0.2864	0.7136	0.0009 
FBtr0114553	17	68	15	36	541	0.6000	0.4	0.2184 
FBtr0114554	1	14	1	2	109	0.1429	0.8571	0.3137 
FBtr0114555	0	8	0	1	134	0.0000	1	1.0000 
FBtr0114556	0	8	0	1	134	0.0000	1	1.0000 
FBtr0114558	14	73	3	32	511	2.0457	-1.0457	0.3900 
FBtr0114559	14	15	62	40	488	0.6022	0.3978	0.2872 
FBtr0114560	14	15	66	40	494	0.5657	0.4343	0.2036 
FBtr0114561	11	6	33	27	284	1.5000	-0.5	0.5833 
FBtr0114562	24	48	3	18	389	3.0000	-2	0.1079 
FBtr0114563	13	8	3	18	317	9.7500	-8.75	0.0036 
FBtr0114564	62	101	8	53	690	4.0668	-3.0668	0.0003 
FBtr0114565	6	17	0	13	243	0.0000	1	0.0679 
FBtr0114566	5	13	0	4	239	0.0000	1	0.5352 
FBtr0114567	8	22	1	24	379	8.7273	-7.7273	0.0307 
FBtr0114568	17	50	1	18	483	6.1200	-5.12	0.0634 
FBtr0114569	6	84	2	27	556	0.9643	0.0357	1.0000 
FBtr0114570	9	87	1	29	585	3.0000	-2	0.4494 
FBtr0114571	133	139	10	64	1030	6.1237	-5.1237	0.0000 
FBtr0114573	14	139	2	57	1174	2.8705	-1.8705	0.2450 
FBtr0114574	23	38	12	17	450	0.8575	0.1425	0.8184 
FBtr0114575	0	4	0	0	158	0.0000	1	1.0000 
FBtr0114577	44	44	7	23	328	3.2857	-2.2857	0.0114 
FBtr0114579	22	176	7	86	1940	1.5357	-0.5357	0.4059 
FBtr0114580	20	177	6	85	1928	1.6008	-0.6008	0.3834 
FBtr0114581	9	12	11	16	300	1.0909	-0.0909	1.0000 
FBtr0114582	8	17	10	16	362	0.7529	0.2471	0.7712 
FBtr0114583	2	9	6	4	138	0.1481	0.8519	0.0805 
FBtr0114584	24	189	5	69	1232	1.7524	-0.7524	0.3709 
FBtr0114585	23	224	3	79	1464	2.7039	-1.7039	0.1537 
FBtr0114586	22	85	10	53	1000	1.3718	-0.3718	0.5441 
FBtr0114587	8	58	0	18	384	0.0000	1	0.1923 
FBtr0114588	9	37	3	14	274	1.1351	-0.1351	1.0000 
FBtr0114589	10	48	6	59	1088	2.0486	-1.0486	0.2828 
FBtr0114590	22	47	7	50	769	3.3435	-2.3435	0.0108 
FBtr0114592	18	109	8	38	1055	0.7844	0.2156	0.6328 
FBtr0114594	8	183	2	74	1305	1.6175	-0.6175	0.7295 
FBtr0114595	2	173	2	74	1227	0.4277	0.5723	0.5867 
FBtr0114597	13	48	5	16	426	0.8667	0.1333	0.7697 
FBtr0114598	20	28	6	41	566	4.8810	-3.881	0.0024 
FBtr0114599	11	117	5	52	798	0.9778	0.0222	1.0000 
FBtr0114600	4	14	4	16	283	1.1429	-0.1429	1.0000 
FBtr0114602	20	27	26	53	851	1.5100	-0.51	0.3395 
FBtr0114603	23	120	6	39	723	1.2458	-0.2458	0.8142 
FBtr0114604	10	46	4	39	973	2.1196	-1.1196	0.2596 
FBtr0114605	91	147	5	66	1498	8.1714	-7.1714	0.0000 
FBtr0114607	4	26	10	42	811	0.6462	0.3538	0.5583 
FBtr0114613	2615	1319	1946	1042	2294	1.0616	-0.0616000000000001	0.2495 
FBtr0114614	23	65	1	20	507	7.0769	-6.0769	0.0396 
FBtr0114615	33	29	28	66	1071	2.6823	-1.6823	0.0043 
FBtr0114616	8	7	11	14	221	1.4545	-0.4545	0.7451 
FBtr0114617	7	7	9	14	187	1.5556	-0.5556	0.7332 
FBtr0114618	47	51	73	92	1102	1.1614	-0.1614	0.6092 
FBtr0114621	745	369	10	31	629	6.2588	-5.2588	0.0000 
FBtr0114622	59	161	17	70	1478	1.5090	-0.509	0.2402 
FBtr0114623	41	139	8	36	967	1.3273	-0.3273	0.6842 
FBtr0114624	47	50	32	24	511	0.7050	0.295	0.3184 
FBtr0114627	49	100	12	48	1141	1.9600	-0.96	0.0670 
FBtr0114628	38	86	8	41	965	2.2645	-1.2645	0.0587 
FBtr0114629	50	90	13	46	1039	1.9658	-0.9658	0.0672 
FBtr0114644	407	263	15	29	706	2.9919	-1.9919	0.0007 
FBtr0114645	0	4	1	3	292	0.0000	1	1.0000 
FBtr0114646	1	13	0	2	155	0.0000	1	1.0000 
FBtr0273009	9	5	20	62	763	5.5800	-4.58	0.0048 
FBtr0273017	9	7	15	26	462	2.2286	-1.2286	0.2359 
FBtr0273183	16	17	8	12	242	1.4118	-0.4118	0.5823 
FBtr0273185	18	32	1	62	788	34.8750	-33.875	0.0000 
FBtr0273186	14	81	11	32	604	0.5028	0.4972	0.1534 
FBtr0273188	84	135	12	41	1091	2.1259	-1.1259	0.0371 
FBtr0273189	0	2	0	1	32	0.0000	1	1.0000 
FBtr0273190	6	74	24	39	489	0.1318	0.8682	0.0000 
FBtr0273191	806	405	21	31	685	2.9378	-1.9378	0.0003 
FBtr0273192	189	545	28	255	4786	3.1583	-2.1583	0.0000 
FBtr0273193	176	533	27	251	4633	3.0697	-2.0697	0.0000 
FBtr0273194	25	13	10	19	307	3.6538	-2.6538	0.0144 
FBtr0273198	24	53	4	25	600	2.8302	-1.8302	0.0862 
FBtr0273200	41	102	10	56	1137	2.2510	-1.251	0.0382 
FBtr0273202	32	56	15	37	545	1.4095	-0.4095	0.4592 
FBtr0273204	41	59	22	27	485	0.8529	0.1471	0.7249 
FBtr0273205	339	176	22	43	559	3.7647	-2.7647	0.0000 
FBtr0273206	19	24	10	12	396	0.9500	0.05	1.0000 
FBtr0273207	20	25	10	12	466	0.9600	0.04	1.0000 
FBtr0273208	1	0	1	10	154	0.0000	1	0.1667 
FBtr0273209	1	0	0	8	92	0.0000	1	0.1111 
FBtr0273210	1	0	1	10	148	0.0000	1	0.1667 
FBtr0273211	1	0	0	8	92	0.0000	1	0.1111 
FBtr0273215	26	61	7	34	744	2.0703	-1.0703	0.1359 
FBtr0273216	7	11	3	5	146	1.0606	-0.0606	1.0000 
FBtr0273217	401	248	17	23	533	2.1876	-1.1876	0.0191 
FBtr0273219	161	107	19	47	492	3.7221	-2.7221	0.0000 
FBtr0273221	22	19	4	9	198	2.6053	-1.6053	0.2073 
FBtr0273222	100	749	8	255	5375	4.2557	-3.2557	0.0000 
FBtr0273223	101	749	8	256	5368	4.3151	-3.3151	0.0000 
FBtr0273224	99	749	8	257	5370	4.2462	-3.2462	0.0000 
FBtr0273225	109	756	10	261	5486	3.7631	-2.7631	0.0000 
FBtr0273226	110	756	10	262	5479	3.8122	-2.8122	0.0000 
FBtr0273227	782	408	23	52	913	4.3333	-3.3333	0.0000 
FBtr0273228	1591	806	43	75	1388	3.4429	-2.4429	0.0000 
FBtr0273229	31	50	3	16	303	3.3067	-2.3067	0.1043 
FBtr0273230	30	142	9	58	1045	1.3615	-0.3615	0.5601 
FBtr0273231	101	129	22	49	1134	1.7438	-0.7438	0.0548 
FBtr0273232	69	79	20	39	720	1.7032	-0.7032	0.1199 
FBtr0273233	67	76	19	38	706	1.7632	-0.7632	0.0850 
FBtr0273234	2	4	0	2	53	0.0000	1	1.0000 
FBtr0273235	10	211	1	92	1558	4.3602	-3.3602	0.1842 
FBtr0273236	52	448	3	246	4486	9.5179	-8.5179	0.0000 
FBtr0273237	43	94	6	26	797	1.9823	-0.9823	0.1963 
FBtr0273238	15	15	1	17	247	17.0000	-16	0.0015 
FBtr0273239	22	14	56	24	299	0.6735	0.3265	0.3951 
FBtr0273240	13	35	1	19	337	7.0571	-6.0571	0.0504 
FBtr0273241	13	35	1	19	337	7.0571	-6.0571	0.0504 
FBtr0273243	15	27	7	39	377	3.0952	-2.0952	0.0472 
FBtr0273244	1198	660	10	41	964	7.4421	-6.4421	0.0000 
FBtr0273245	7	51	0	24	519	0.0000	1	0.0997 
FBtr0273247	9	67	15	43	709	0.3851	0.6149	0.0426 
FBtr0273248	8	65	15	41	685	0.3364	0.6636	0.0351 
FBtr0273250	8	65	15	41	679	0.3364	0.6636	0.0351 
FBtr0273251	55	88	27	33	588	0.7639	0.2361	0.4343 
FBtr0273253	2	9	0	15	290	0.0000	1	0.1692 
FBtr0273255	18	14	15	50	412	4.2857	-3.2857	0.0026 
FBtr0273256	11	11	4	14	242	3.5000	-2.5	0.1040 
FBtr0273257	30	148	31	67	1251	0.4381	0.5619	0.0062 
FBtr0273258	30	55	41	66	803	0.8780	0.122	0.7636 
FBtr0273259	37	74	48	91	1184	0.9479	0.0521	0.8935 
FBtr0273260	31	195	10	88	1320	1.3990	-0.399	0.4682 
FBtr0273261	17	80	5	22	615	0.9350	0.0649999999999999	1.0000 
FBtr0273263	10	33	4	43	584	3.2576	-2.2576	0.0799 
FBtr0273264	7	32	3	37	541	2.6979	-1.6979	0.1927 
FBtr0273265	9	45	7	43	523	1.2286	-0.2286	0.7895 
FBtr0273268	2	22	9	11	355	0.1111	0.8889	0.0121 
FBtr0273269	15	26	8	31	564	2.2356	-1.2356	0.1413 
FBtr0273271	3	10	1	5	109	1.5000	-0.5	1.0000 
FBtr0273272	0	5	2	3	69	0.0000	1	0.4444 
FBtr0273273	12	32	7	77	990	4.1250	-3.125	0.0076 
FBtr0273274	2	10	1	6	152	1.2000	-0.2	1.0000 
FBtr0273275	1	9	1	6	109	0.6667	0.3333	1.0000 
FBtr0273276	7	58	2	12	369	0.7241	0.2759	0.6567 
FBtr0273277	15	23	5	49	630	6.3913	-5.3913	0.0008 
FBtr0273278	14	6	3	11	175	8.5556	-7.5556	0.0134 
FBtr0273279	10	49	3	9	305	0.6122	0.3878	0.6821 
FBtr0273281	20	33	11	22	350	1.2121	-0.2121	0.8180 
FBtr0273282	7	31	388	183	475	0.1065	0.8935	0.0000 
FBtr0273283	7	31	388	183	475	0.1065	0.8935	0.0000 
FBtr0273284	54	120	2	34	1191	7.6500	-6.65	0.0008 
FBtr0273285	36	154	19	52	1039	0.6398	0.3602	0.1758 
FBtr0273286	61	205	31	76	1392	0.7295	0.2705	0.2336 
FBtr0273287	61	198	32	75	1345	0.7221	0.2779	0.2349 
FBtr0273288	40	95	26	41	633	0.6640	0.336	0.2052 
FBtr0273289	71	250	37	98	1641	0.7522	0.2478	0.2298 
FBtr0273290	64	208	33	78	1432	0.7273	0.2727	0.2436 
FBtr0273291	22	88	4	29	648	1.8125	-0.8125	0.4408 
FBtr0273293	0	5	1	1	81	0.0000	1	0.2857 
FBtr0273296	13	19	13	23	281	1.2105	-0.2105	0.8042 
FBtr0273298	7	9	8	12	88	1.1667	-0.1667	1.0000 
FBtr0273300	84	98	31	74	1064	2.0461	-1.0461	0.0060 
FBtr0273301	114	229	24	97	1546	2.0120	-1.012	0.0055 
FBtr0273302	57	73	25	40	599	1.2493	-0.2493	0.5391 
FBtr0273303	62	110	34	56	924	0.9283	0.0717	0.7887 
FBtr0273304	13	39	7	24	499	1.1429	-0.1429	1.0000 
FBtr0273305	15	43	8	28	659	1.2209	-0.2209	0.8069 
FBtr0273306	15	43	8	28	659	1.2209	-0.2209	0.8069 
FBtr0273307	65	112	13	79	1117	3.5268	-2.5268	0.0001 
FBtr0273308	145	291	36	96	1868	1.3288	-0.3288	0.2030 
FBtr0273309	2	13	1	13	145	2.0000	-1	1.0000 
FBtr0273310	3	20	1	16	222	2.4000	-1.4	0.6235 
FBtr0273311	31	162	34	82	1241	0.4615	0.5385	0.0091 
FBtr0273313	74	36	10	13	197	2.6722	-1.6722	0.0553 
FBtr0273316	58	189	40	83	1304	0.6368	0.3632	0.0796 
FBtr0273319	11	37	2	26	346	3.8649	-2.8649	0.1153 
FBtr0273320	5	20	3	10	235	0.8333	0.1667	1.0000 
FBtr0273321	136	96	22	26	305	1.6742	-0.6742	0.1122 
FBtr0273322	204	101	11	45	601	8.2628	-7.2628	0.0000 
FBtr0273323	48	119	8	99	1569	4.9916	-3.9916	0.0000 
FBtr0273324	18	89	3	69	1127	4.6517	-3.6517	0.0094 
FBtr0273325	38	70	16	70	1414	2.3750	-1.375	0.0151 
FBtr0273326	22	54	5	45	1094	3.6667	-2.6667	0.0141 
FBtr0273327	32	63	13	60	1247	2.3443	-1.3443	0.0232 
FBtr0273328	11	42	2	25	339	3.2738	-2.2738	0.2004 
FBtr0273329	26	76	13	19	423	0.5000	0.5	0.1201 
FBtr0273335	237	145	83	49	755	0.9649	0.0351	0.9172 
FBtr0273336	24	97	12	33	682	0.6804	0.3196	0.3976 
FBtr0273337	9	80	10	20	443	0.2250	0.775	0.0071 
FBtr0273338	22	153	16	38	760	0.3415	0.6585	0.0058 
FBtr0273339	9	26	15	19	290	0.4385	0.5615	0.1338 
FBtr0273340	106	128	74	79	1704	0.8841	0.1159	0.6026 
FBtr0273341	79	94	57	60	1400	0.8847	0.1153	0.6328 
FBtr0273342	10	10	3	7	143	2.3333	-1.3333	0.4404 
FBtr0273343	78	190	23	72	1633	1.2851	-0.2851	0.4245 
FBtr0273344	767	387	20	31	594	3.0720	-2.072	0.0001 
FBtr0273345	2	6	2	8	157	1.3333	-0.3333	1.0000 
FBtr0273346	2	6	2	8	150	1.3333	-0.3333	1.0000 
FBtr0273347	3	6	2	7	155	1.7500	-0.75	1.0000 
FBtr0273348	28	43	5	27	316	3.5163	-2.5163	0.0219 
FBtr0273349	23	18	11	11	201	1.2778	-0.2778	0.7917 
FBtr0273350	662	335	28	39	596	2.7525	-1.7525	0.0001 
FBtr0273351	9	7	18	50	672	3.5714	-2.5714	0.0354 
FBtr0273352	3	6	8	24	303	1.5000	-0.5	0.6804 
FBtr0273353	0	2	10	28	334	0.0000	1	1.0000 
FBtr0273354	7	78	6	34	705	0.5085	0.4915	0.3455 
FBtr0273357	35	58	23	55	561	1.4430	-0.443	0.3307 
FBtr0273359	236	112	32	60	552	3.9509	-2.9509	0.0000 
FBtr0273361	590	241	28	28	422	2.4481	-1.4481	0.0015 
FBtr0273362	22	57	10	42	602	1.6211	-0.6211	0.3033 
FBtr0273363	23	58	10	43	623	1.7052	-0.7052	0.2269 
FBtr0273367	102	109	148	155	1658	0.9800	0.02	0.9287 
FBtr0273368	78	92	85	134	1406	1.3366	-0.3366	0.1785 
FBtr0273369	4	10	3	13	168	1.7333	-0.7333	0.6746 
FBtr0273370	21	637	8	237	4638	0.9766	0.0234	1.0000 
FBtr0273372	6	22	20	13	150	0.1773	0.8227	0.0039 
FBtr0273377	8	10	30	48	478	1.2800	-0.28	0.7899 
FBtr0273378	1	2	0	6	194	0.0000	1	0.3333 
FBtr0273382	137	174	67	185	2452	2.1740	-1.174	0.0000 
FBtr0273383	41	42	266	125	599	0.4587	0.5413	0.0016 
FBtr0273384	75	82	31	112	1672	3.3045	-2.3045	0.0000 
FBtr0273385	75	82	31	112	1691	3.3045	-2.3045	0.0000 
FBtr0273386	903	366	12	22	673	4.5232	-3.5232	0.0000 
FBtr0273388	749	389	6	25	618	8.0227	-7.0227	0.0000 
FBtr0273389	30	21	35	27	334	1.1020	-0.102	0.8498 
FBtr0273390	132	463	36	219	3919	1.7343	-0.7343	0.0064 
FBtr0273391	68	79	27	44	1033	1.4027	-0.4027	0.3078 
FBtr0273392	33	55	9	50	630	3.3333	-2.3333	0.0049 
FBtr0273393	3	14	2	5	142	0.5357	0.4643	0.6080 
FBtr0273396	18	234	4	67	1161	1.2885	-0.2885	0.7941 
FBtr0273397	16	227	3	62	1096	1.4567	-0.4567	0.7733 
FBtr0273398	29	16	56	30	682	0.9710	0.029	1.0000 
FBtr0273399	849	396	48	34	707	1.5186	-0.5186	0.0874 
FBtr0273400	6	19	6	7	196	0.3684	0.6316	0.2701 
FBtr0273401	10	3	14	15	195	3.5714	-2.5714	0.1038 
FBtr0273402	31	23	4	6	186	2.0217	-1.0217	0.4910 
FBtr0273403	229	122	3	13	219	8.1339	-7.1339	0.0003 
FBtr0273404	4	5	9	15	235	1.3333	-0.3333	1.0000 
FBtr0273405	22	30	14	32	455	1.6762	-0.6762	0.2943 
FBtr0273407	20	35	10	39	803	2.2286	-1.2286	0.0858 
FBtr0273409	4	3	2	9	44	6.0000	-5	0.1414 
FBtr0273410	16	29	16	91	1023	3.1379	-2.1379	0.0080 
FBtr0273411	7	10	5	16	117	2.2400	-1.24	0.3073 
FBtr0273412	931	514	28	71	1296	4.5929	-3.5929	0.0000 
FBtr0273414	31	78	7	35	565	1.9872	-0.9872	0.1494 
FBtr0273416	206	114	3	21	322	12.6491	-11.6491	0.0000 
FBtr0273417	7	9	1	14	277	10.8889	-9.8889	0.0373 
FBtr0273418	164	206	75	335	4232	3.5560	-2.556	0.0000 
FBtr0273419	349	203	10	20	345	3.4384	-2.4384	0.0016 
FBtr0273420	3	10	2	18	309	2.7000	-1.7	0.3600 
FBtr0273421	5	3	3	4	121	2.2222	-1.2222	0.6193 
FBtr0273422	133	208	48	129	2637	1.7184	-0.7184	0.0086 
FBtr0273423	25	65	9	63	1101	2.6923	-1.6923	0.0202 
FBtr0273424	19	61	5	61	1033	3.8000	-2.8	0.0125 
FBtr0273425	19	61	5	61	1033	3.8000	-2.8	0.0125 
FBtr0273426	19	61	5	61	1033	3.8000	-2.8	0.0125 
FBtr0273427	91	114	35	93	1842	2.1211	-1.1211	0.0025 
FBtr0273428	25	63	9	64	1095	2.8219	-1.8219	0.0191 
FBtr0273430	1	3	0	5	192	0.0000	1	0.4444 
FBtr0273431	17	18	6	36	789	5.6667	-4.6667	0.0023 
FBtr0273432	26	26	7	49	1102	7.0000	-6	0.0000 
FBtr0273433	26	26	7	49	1102	7.0000	-6	0.0000 
FBtr0273434	30	30	11	59	1246	5.3636	-4.3636	0.0000 
FBtr0273435	24	47	16	33	371	1.0532	-0.0531999999999999	1.0000 
FBtr0273437	153	417	190	303	3748	0.5851	0.4149	0.0001 
FBtr0273438	3	41	2	12	264	0.4390	0.561	0.5852 
FBtr0273439	184	87	13	12	199	1.9523	-0.9523	0.1229 
FBtr0273441	13	38	1	16	349	5.4737	-4.4737	0.1625 
FBtr0273442	5	4	11	25	293	2.8409	-1.8409	0.2446 
FBtr0273443	5	4	11	25	293	2.8409	-1.8409	0.2446 
FBtr0273445	22	40	3	18	282	3.3000	-2.3	0.0983 
FBtr0273446	49	123	8	59	1661	2.9380	-1.938	0.0068 
FBtr0273447	46	119	8	59	1597	2.8508	-1.8508	0.0098 
FBtr0273448	11	25	8	21	192	1.1550	-0.155	1.0000 
FBtr0273450	5	10	0	11	217	0.0000	1	0.0527 
FBtr0289934	41	87	21	41	680	0.9201	0.0799	0.8693 
FBtr0289939	9	26	5	25	630	1.7308	-0.7308	0.5464 
FBtr0289940	9	26	5	25	630	1.7308	-0.7308	0.5464 
FBtr0289942	229	119	13	27	415	3.9968	-2.9968	0.0001 
FBtr0289952	392	215	11	21	502	3.4808	-2.4808	0.0010 
FBtr0289953	12	15	14	37	568	2.1143	-1.1143	0.1404 
FBtr0289954	1201	595	5	46	945	18.5701	-17.5701	0.0000 
FBtr0289955	29	138	7	53	1038	1.5911	-0.5911	0.4100 
FBtr0289956	16	129	4	51	945	1.5814	-0.5814	0.5990 
FBtr0289957	16	129	4	51	945	1.5814	-0.5814	0.5990 
FBtr0289958	16	129	4	51	945	1.5814	-0.5814	0.5990 
FBtr0289959	15	122	4	50	900	1.5369	-0.5369	0.5959 
FBtr0289960	1	27	2	6	397	0.1111	0.8889	0.1176 
FBtr0289961	13	41	3	6	190	0.6341	0.3659	0.6811 
FBtr0289962	22	43	8	30	360	1.9186	-0.9186	0.1859 
FBtr0289963	10	24	1	15	181	6.2500	-5.25	0.0803 
FBtr0289964	16	26	1	4	170	2.4615	-1.4615	0.6400 
FBtr0289965	26	52	6	19	398	1.5833	-0.5833	0.4619 
FBtr0289966	2	23	2	9	151	0.3913	0.6087	0.5705 
FBtr0289967	16	37	70	35	425	0.2162	0.7838	0.0000 
FBtr0289968	12	24	51	23	306	0.2255	0.7745	0.0005 
FBtr0289969	12	24	51	23	306	0.2255	0.7745	0.0005 
FBtr0289970	16	37	70	35	425	0.2162	0.7838	0.0000 
FBtr0289971	38	37	13	13	278	1.0270	-0.0269999999999999	1.0000 
FBtr0289972	6	1	6	16	163	16.0000	-15	0.0106 
FBtr0289973	35	47	10	10	239	0.7447	0.2553	0.6199 
FBtr0289974	27	56	3	12	460	1.9286	-0.9286	0.5433 
FBtr0289975	4	5	9	12	214	1.0667	-0.0667	1.0000 
FBtr0289976	139	58	15	24	259	3.8345	-2.8345	0.0002 
FBtr0289977	13	16	7	21	241	2.4375	-1.4375	0.1665 
FBtr0289978	189	195	71	97	1734	1.3242	-0.3242	0.1390 
FBtr0289979	17	150	6	61	934	1.1522	-0.1522	1.0000 
FBtr0289981	19	80	17	65	1242	0.9081	0.0919	0.8527 
FBtr0289982	36	500	31	197	4385	0.4575	0.5425	0.0031 
FBtr0289983	6	58	7	19	390	0.2808	0.7192	0.0466 
FBtr0289985	63	210	74	94	1432	0.3811	0.6189	0.0000 
FBtr0289986	40	55	21	32	540	1.1082	-0.1082	0.8621 
FBtr0289988	5	67	0	35	648	0.0000	1	0.1701 
FBtr0289989	7	58	4	11	619	0.3319	0.6681	0.2042 
FBtr0289990	12	33	2	16	279	2.9091	-1.9091	0.3143 
FBtr0289993	10	13	11	14	192	0.9790	0.021	1.0000 
FBtr0289994	10	18	17	22	219	0.7190	0.281	0.6164 
FBtr0289995	7	33	5	13	219	0.5515	0.4485	0.4859 
FBtr0289998	26	62	3	24	930	3.3548	-2.3548	0.0751 
FBtr0289999	4	16	0	13	123	0.0000	1	0.1359 
FBtr0290000	0	7	2	7	109	0.0000	1	0.4750 
FBtr0290001	19	188	1625	686	1333	0.0427	0.9573	0.0000 
FBtr0290002	41	108	10	61	998	2.3157	-1.3157	0.0276 
FBtr0290003	3	21	4	5	104	0.1786	0.8214	0.0683 
